rank,group,video_id,uploader,likes,comments,views,shares,engagement_score,title,duration_s,source_file,is_viral_proxy
24,top,7461455484957216046,6751051329931609094,1400000,2076,22800000,13600,1404152,Fun fact: 42 people were apart of Hype House over 5 years. ,7,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
47,normal,7463295674528828718,209793,21400,321,959400,147,22042,THANK YOU TIMOTHEE  #acompleteunknown @Searchlight Pictures ,111,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
23,top,7477048558412139806,6539853526925841423,1400000,3715,18400000,76400,1407430,@griffinjohnson ,14,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
27,top,7481081623962733867,6748458643983238149,1300000,7703,15600000,13500,1315406,Lmfao,9,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
16,top,7481463647085088043,6748458643983238149,1700000,11400,17200000,70300,1722800,Englishera halata🇵🇭,15,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
92,normal,7481987417357012267,209793,68900,404,1300000,328,69708,GUESS WHERE I AM,15,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
64,normal,7483001771346922794,6524904798586672143,10600,218,540700,452,11036,the beatboxing gamer is at it again 🗣️🎯 #instagrampartner ,42,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
31,normal,7483004941213322542,6524904798586672143,15900,676,867800,5105,17252,one question 🗣️🤡 #instagrampartner ,18,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
70,normal,7483228758514896174,6524904798586672143,63900,1289,2100000,16200,66478,chicken banana beatbox 🗣️🐔🍌,15,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
85,normal,7486292240898411822,6524904798586672143,24000,654,1300000,3209,25308,Chicken Banana Live Sample Beatbox Remix w/ @BandLab 🗣️🐓🍌🎶,46,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
64,top,7491043786580135214,6748458643983238149,601600,3753,22700000,3268,609106,Let’s go to the studio with my @Vans Super Lowpro💗 #vanspartner ,19,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
25,top,7491859948490607918,6539853526925841423,1400000,1413,33500000,7873,1402826,la nights with @H&M #hm #ad 🪩,67,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
43,top,7493024973506792746,6524904798586672143,822300,19800,10900000,265300,861900,Cactus Joker Beatbox 🗣️🌵🤡 More why so serious videos exclusively on R...,48,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
32,normal,7493294519652224302,6539853526925841423,41600,380,5600000,347,42360,dix in the desert 🌵 @Revolve #REVOLVEfestival #REVOLVEpartner,33,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
30,normal,7493347618081475886,209793,37900,632,1300000,533,39164,TikTok video #7493347618081475886,12,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
26,top,7494637665753713942,127905465618821121,1300000,19800,21400000,30100,1339600,"My bad man , I was training 🥷🏾#learnfromkhaby #comedy",16,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
73,top,7497125916095860014,6748458643983238149,489400,6772,10600000,12900,502944,Leron Leron Sinta🎶 Bella’s version lol humanap ka nlng ng iba,51,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
29,top,7498051752504151339,6748458643983238149,1100000,5996,15600000,14100,1111992,My cat is a star🐱new reel on IG. link in bio before he unfollows me !!,5,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
100,top,7498461301472070954,6748458643983238149,339500,4580,11500000,5047,348660,More omnichord content on IG reels🤍 follow me there !!,15,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
36,top,7500017699733425438,6748458643983238149,979300,8117,20700000,8448,995534,#philippines 🇵🇭,62,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
61,top,7501786655280336150,127905465618821121,630400,10100,8800000,4329,650600,Arriving in style at the Met Gala with BOSS #beyourownboss ,22,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
48,top,7503547470006226198,127905465618821121,756500,14600,11400000,8062,785700,You can try it this way too #learnfromkhaby #comedy,33,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
22,top,7505030969712217366,127905465618821121,1400000,18000,22200000,24900,1436000,Level ♾️#learnfromkhaby #comedy ,20,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
81,normal,7506715561590803758,6524904798586672143,50900,949,1500000,1269,52798,Ggs I guess,18,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
91,normal,7506899936903007531,6524904798586672143,43400,1079,1100000,13600,45558,Why so serious Darth Vader? 😂🤡 More exclusive content on reels #insta...,55,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
5,normal,7506913208318496046,6524904798586672143,43000,1983,1500000,9813,46966,Parrot laugh emoji beatbox 🦜🤡 More exclusive content on reels #instag...,47,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
52,top,7511706784608898326,127905465618821121,720500,11100,14000000,16100,742700,"Sorry teacher, I am never going to bring my phone to school again#lea...",21,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
63,normal,7513261762968341806,6703550784929793030,105400,326,5500000,1297,106052,SUMMER FOREVERRRRR🩵💛💜💓💓💓🎀🎇🎀🎇💟💟🩵🩵🩵 @ Matchaful ,31,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
76,top,7513391798920989998,6703550784929793030,487100,672,9900000,4192,488444,The making of Money is Everything ❤️❤️❤️💸💰💸💵💵💰💰💰,29,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
49,top,7513647103558585643,6703550784929793030,756800,1472,13900000,11600,759744,Round 2 in London??? 🥀⚖️🥀⚖️🪷🪷📦📦📦📦📦 I wanna perform for youuuuuu,15,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
88,normal,7513980049121611054,6703550784929793030,119500,783,16000000,912,121066,times like these bts to real life… 💕 can’t get enough of @Armani beau...,14,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
94,top,7515067489852673323,6703550784929793030,371900,890,10200000,2307,373680,I am the luckiest girl in the world 🔮🎀🎇🩵🌷⚜️🪷💟⚖️🌛,44,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
4,top,7515083249782181163,6703550784929793030,3700000,3946,33300000,73900,3707892,Had to @quenblackwell …. Thank you for feeding meeeee❤️,15,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
21,top,7516905495962209558,127905465618821121,1400000,21800,13400000,12500,1443600,"Yes, it was a good dream… I dribbled Neymar. Then I woke up and he to...",22,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
100,normal,7516938565066951991,6524904798586672143,22500,671,865100,5673,23842,BTS making a joker beatbox video 🗣️🤡 more why so serious videos exclu...,39,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
67,normal,7516941123676294430,934514,14300,134,464500,184,14568,my life is not real,83,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
84,normal,7517661384499301687,6524904798586672143,34600,906,1400000,16100,36412,These gamers are way too serious 🤡😭 More exclusive content on reels #...,41,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
75,top,7518015832954326294,127905465618821121,475700,8809,7200000,3625,493318,"Free Exclusive Minecraft Character items – Frog Mask, Glow Squid Hood...",38,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
57,normal,7518459843343060238,209793,13500,306,536200,161,14112,PLEASE LET ME KNOW IF YOU TRY MY GUT HEALTH SALAD🫜🥗 🤭 !!!!!!!!!!!! ♥️...,132,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
99,top,7520613613476826390,127905465618821121,331300,10500,5600000,8097,352300,I got you bro 👍🏿#learnfromkhaby #comedy,54,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
38,top,7521737810315939085,6703550784929793030,926700,2545,12100000,16400,931790,I’m opening for Lana in 3 days… 🥹🦋🥹🦋🥹🦋🥹🦋🥹 ,17,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
98,top,7522839955991956759,127905465618821121,343800,6577,6100000,5584,356954,"Maybe tomorrow , or maybe never…#learnfromkhaby #comedy ",29,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
33,normal,7523247946826075422,934514,86700,207,1300000,665,87114,thank god i decided to see an 80s cover band on a random monday,13,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
56,normal,7524003882544926007,6727327145951183878,18100,556,428200,245,19212,@Jas Davis doesn’t get it… I’m an athlete ,34,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
84,top,7524695285293993238,127905465618821121,409900,8300,7600000,5474,426500,I saw you man 👀#learnfromkhaby #comedy ,15,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
2,normal,7525148037694393614,6727327145951183878,58100,1009,746800,8316,60118,"If you need me, I’ll be in Gran Canaria",32,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
58,normal,7525596263971114270,934514,76600,251,1100000,3376,77102,me and the lipstick on my chin are broken @brooketaylorkier ,10,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
74,normal,7526832928811207991,209793,42000,212,559900,189,42424,our emotions are never too much!!!!!!!!!!!!!!!!!!!!!! 😭😭😭😭♥️♥️♥️♥️✨✨✨...,73,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
41,top,7527278440291126550,127905465618821121,869200,10000,20600000,7320,889200,It's all a matter of perspective #learnfromkhaby #comedy ,37,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
52,normal,7527804631657794846,934514,62500,236,1300000,475,62972,time to log off ,9,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
70,top,7528058390535310605,209793,535000,1681,4000000,5386,538362,why i wasn’t in zombies 4 ♥️,28,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
20,normal,7528464534936358199,209793,55500,287,800100,357,56074,🩶,27,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
39,top,7528483160141597982,6748458643983238149,865900,14100,16800000,150800,894100,Beacon abogado✨,10,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
85,top,7530273378234649878,127905465618821121,401500,10300,9100000,16800,422100,Here some options 👍🏿  #comedy #learnfromkhaby ,44,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
81,top,7530978492717190455,6745191554350760966,439100,5383,3700000,12500,449866,"Rest in Peace, Terry Bollea aka The Immortal Hulk Hogan 🕊️💐 To millio...",75,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
67,top,7531096947776671006,6751051329931609094,585900,5374,7500000,27400,596648,Tag someone you’d wanna see join.  I’m considering reviving Hype Hous...,7,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
21,normal,7532257687514451213,6727327145951183878,23000,890,421900,395,24780,I think we got it,17,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
97,top,7532465100771413270,127905465618821121,341000,9623,8300000,5501,360246,Maybe tomorrow #comedy #learnfromkhaby #gym ,31,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
5,top,7532593973144210743,6745191554350760966,3100000,67700,31600000,279500,3235400,I’ve learned over time that you look back on life’s decisions and say...,42,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
69,normal,7533276670954884407,6727327145951183878,91200,1384,900300,7012,93968,Dance like nobody’s watchin’. Even though everybody’s watchin’,21,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
51,normal,7533277722089442590,934514,21100,168,897100,142,21436,so much pressure and for what anyway follow my ig @ loren ,6,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
58,top,7533687190707047701,6596805238354558982,656000,14300,8000000,12200,684600,Hola que hacen? ,15,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
31,top,7533694357220707605,6596805238354558982,980000,16600,12400000,11100,1013200,🫶🏻,15,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
73,normal,7535131930182815031,6727327145951183878,27100,334,490600,260,27768,Dancing with your kids is an indescribable joy!! Glad I could be a pa...,21,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
59,normal,7535597272009116958,934514,47900,517,813500,514,48934,feels like leveling up in a video game help i’m scared and confused w...,55,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
83,top,7535822781108194582,127905465618821121,416600,8141,9100000,6988,432882,Nothing personal 🚶🏿🫶🏾#learnfromkhaby #comedy ,25,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
93,normal,7537411459005828407,6727327145951183878,61900,671,838300,749,63242,My guy knew the vibes 🫡 ,16,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
34,normal,7538142607772257550,6727327145951183878,22700,686,435700,289,24072,Those fries were calling to me,14,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
3,top,7538167343642397973,6596805238354558982,4300000,22600,49600000,58100,4345200,en los comentarios ,6,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
9,top,7538175287809379604,6596805238354558982,2000000,27700,28300000,10900,2055400,díganme ustedes ,7,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
6,top,7538179148267703572,6596805238354558982,2200000,14300,25200000,10500,2228600,ya no crezcas Kima 🥹,14,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
20,top,7538184429018041621,6596805238354558982,1400000,22900,13800000,22000,1445800,"ya no soy esa niña que destruyeron tantas veces, lamento que crean to...",14,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
63,top,7538431890357865750,127905465618821121,579800,15100,17000000,14000,610000,👌🏾 perfect #learnfromkhaby #commedy ,46,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
76,normal,7538577100836539703,209793,34000,309,595400,191,34618,TikTok video #7538577100836539703,6,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
17,normal,7538643019420142903,6703550784929793030,91400,552,3300000,1085,92504,Rehearsing in my @Reebok @DSW #reebok #ad ,13,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
62,top,7539684741776248119,209793,615500,893,5000000,2248,617286,i promise i’m very tough and hardcore,6,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
35,normal,7540363753703869751,6727327145951183878,58200,1439,846500,6484,61078,This edit is not what I had in mind @Jas Davis ,58,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
3,normal,7540683047117540663,6727327145951183878,31800,1620,810100,631,35040,Norway’s next… drop your chocolate recs below ,64,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
65,top,7541312762547408183,6524904798586672143,572600,17900,10700000,246800,608400,Clownstep beatbox 🗣️🤡 more exclusive content on reels #instagrampartner ,20,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
56,top,7541415269642652941,68616495085350913,715500,1518,19100000,11300,718536,backup camera fail,26,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
47,top,7541499742363110663,6596805238354558982,769700,8813,7700000,5379,787326,Amo guardar recuerdos con mis ojos 🫶🏻 @raybanmeta #RayBanMetaPartner ,61,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
95,normal,7541623233842269470,6524904798586672143,12700,476,1100000,573,13652,Beatbox 1v2 for the dub 🗣️🎶 More exclusive content on reels #instagra...,35,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
42,top,7542236120256482574,7445731,874700,1233,17200000,23700,877166,New YouTube video is up where I camouflage in youtuber’s houses😂,23,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
53,top,7542648831586880823,190068318278651904,729700,2462,4900000,9264,734624,so so so happy to be back 🥹🌊⛱️,106,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
90,top,7543753322679864589,190068318278651904,388200,3129,3800000,1366,394458,Replying to @ava.navarro YOU ALL VOTED FOR A HAMMOCK… and you might b...,164,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Top_100/top_metadata.json,1
39,normal,7544374389890927886,6745191554350760966,107200,4523,2900000,3542,116246,“Act like you’ve been there” 🤪 Trying to stay cool and absorb every s...,69,/Users/jolanda/Desktop/Study/Project_Algorithmus/Viralitaetsanalyse-main/tiktok_100_vs_100/Normal_100/normal_metadata.json,0
